Numéro de la pièce,Désignation,Quantité
1,Banc TP assemblé,1
2,Vis M3,8
3,Ecrou M3,8
4,Structure banc TP assemblé,1
5,Structure banc TP,1
6,bouton ON/OFF,1
7,Capteur DS18B20 (T°C ambiant),1
8,Support électrique assemblé,1
9,Convertisseur 12V,1
10,Convertisseur 5V,1
11,Afficheur,1
12,Support matériel électique,1
13,Transistor,1
14,Boitier Arduino,1
15,Arduino,1
16,Cloche,1
17,Ailette assemblé,1
18,Résistance chauffante,1
19,Ailette,1
20,Support capteur,1
21,Capteur DS18B20,16
34,blablabla,42
